,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. ||| How deadly is lobular carcinoma in situ? |||  |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. ||| How does LCIS behave differently from PLCIS? ||| When she went to two other pathologists, both confirmed a cancer diagnosis. |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. ||| How does LCIS behave differently from PLCIS? ||| When she went to two other pathologists, both confirmed a cancer diagnosis. ||| What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. ||| How does LCIS behave differently from PLCIS? ||| When she went to two other pathologists, both confirmed a cancer diagnosis. ||| What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| How does LCIS behave differently from PLCIS? ||| When she went to two other pathologists, both confirmed a cancer diagnosis. ||| What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the ||| No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. ||| Stage 1A breast cancer means the following description applies: The tumor is smaller than the approximate size of a peanut (2 centimeters or smaller) AND has not spread to the lymph nodes. |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,"Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways – These driveways are usually created by dunking a load of gravel and leveling it. |||| Reformulation: "
2,What type of de-icing product can damage concrete driveways?,"Query: Really?  What type of product? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways – These driveways are usually created by dunking a load of gravel and leveling it. ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| In winter, concrete driveways can suffer damage if you use the wrong de-icing product. |||| Reformulation: "
3,Which type of driveway is more environmentally friendly?,"Query: Who knew?  Which is more environmentally friendly? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways – These driveways are usually created by dunking a load of gravel and leveling it. ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| In winter, concrete driveways can suffer damage if you use the wrong de-icing product. ||| What type of de-icing product can damage concrete driveways? ||| What Rock Salt is Safe for Concrete? Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product. |||| Reformulation: "
