,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Most of the time, these later cancers begin in the milk ducts, rather than the lobules. |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Most of the time, these later cancers begin in the milk ducts, rather than the lobules. ||| How deadly is lobular carcinoma in situ? |||  |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Most of the time, these later cancers begin in the milk ducts, rather than the lobules. ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Most of the time, these later cancers begin in the milk ducts, rather than the lobules. ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| How does LCIS behave differently from PLCIS? ||| ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| How does LCIS behave differently from PLCIS? ||| ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Prognosis for infiltrating and invasive lobular breast carcinomas will naturally be influenced by tumor size, grade, stage and hormone receptor status.. However, lobular breast cancers, when positive for estrogen and progesterone receptors, tend to respond very well to hormone therapy. |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| How does LCIS behave differently from PLCIS? ||| ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Prognosis for infiltrating and invasive lobular breast carcinomas will naturally be influenced by tumor size, grade, stage and hormone receptor status.. However, lobular breast cancers, when positive for estrogen and progesterone receptors, tend to respond very well to hormone therapy. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? |||  |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| How deadly is lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| How does LCIS behave differently from PLCIS? ||| ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Prognosis for infiltrating and invasive lobular breast carcinomas will naturally be influenced by tumor size, grade, stage and hormone receptor status.. However, lobular breast cancers, when positive for estrogen and progesterone receptors, tend to respond very well to hormone therapy. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? |||  ||| No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. ||| Similar to stage 0, breast cancer at this stage is very treatable and survivable. |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,"Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? ||| Gravel driveways are cheap, can last can last of a very long time and require little maintenance. |||| Reformulation: "
2,What type of de-icing product can damage concrete driveways?,"Query: Really?  What type of product? |||| Context: How do I build a cheap driveway? ||| Gravel driveways are cheap, can last can last of a very long time and require little maintenance. ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| When the time comes to install a new driveway, the biggest decision is whether to use concrete or asphalt. |||| Reformulation: "
3,Which type of driveway is more environmentally friendly?,"Query: Who knew?  Which is more environmentally friendly? |||| Context: How do I build a cheap driveway? ||| Gravel driveways are cheap, can last can last of a very long time and require little maintenance. ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| When the time comes to install a new driveway, the biggest decision is whether to use concrete or asphalt. ||| What type of de-icing product can damage concrete driveways? |||  |||| Reformulation: "
