,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. This cancer accounts for about 10% of all invasive breast cancer cases. |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. This cancer accounts for about 10% of all invasive breast cancer cases. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Regardless of the histological subtype, the prognosis of IDC depends also on tumor size, presence of cancer in the lymph nodes, histological grade, presence of cancer in small vessels (vascular invasion), expression of hormone receptors and of oncogenes like HER2/neu. These parameters can be entered into models that provide a statistical probability of systemic spread. |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. ||| How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. ||| What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. This cancer accounts for about 10% of all invasive breast cancer cases. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Regardless of the histological subtype, the prognosis of IDC depends also on tumor size, presence of cancer in the lymph nodes, histological grade, presence of cancer in small vessels (vascular invasion), expression of hormone receptors and of oncogenes like HER2/neu. These parameters can be entered into models that provide a statistical probability of systemic spread. ||| No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. ||| The breast cancer has been detected in the early stages and can be very effectively treated. Stage 1 can be divided into Stage 1A and Stage 1B. The difference is determined by the size of the tumor and the lymph nodes with evidence of cancer. |||| Reformulation: "
