,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types? |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| Wow, that's better than I thought.  What are common treatments? |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| Wow, that's better than I thought.  What are common treatments? ||| How does it behave differently from PLCIS? |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| Wow, that's better than I thought.  What are common treatments? ||| How does it behave differently from PLCIS? ||| What makes lobular cancer distinct? |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| Wow, that's better than I thought.  What are common treatments? ||| How does it behave differently from PLCIS? ||| What makes lobular cancer distinct? ||| For the first stage, what are the alternatives to surgery? |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| Once it breaks out, how likely is it to spread? ||| How deadly is it? ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| Wow, that's better than I thought.  What are common treatments? ||| How does it behave differently from PLCIS? ||| What makes lobular cancer distinct? ||| For the first stage, what are the alternatives to surgery? ||| No, I meant for lobular. |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? |||| Reformulation: 
2,What type of de-icing product can damage concrete driveways?,Query: Really?  What type of product? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? |||| Reformulation: 
3,Which type of driveway is more environmentally friendly?,Query: Who knew?  Which is more environmentally friendly? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? ||| Really?  What type of product? |||| Reformulation: 
4,No. Which type of driveway is better for the environment?,Query: No.  Which type of driveway is better for the environment? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? ||| Really?  What type of product? ||| Who knew?  Which is more environmentally friendly? |||| Reformulation: 
5,Which type of driveway is the most low-maintenance?,Query: And most low-maintenance? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? ||| Really?  What type of product? ||| Who knew?  Which is more environmentally friendly? ||| No.  Which type of driveway is better for the environment? |||| Reformulation: 
6,Really? How long does an asphalt driveway last?,Query: Really? What about asphalt? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? ||| Really?  What type of product? ||| Who knew?  Which is more environmentally friendly? ||| No.  Which type of driveway is better for the environment? ||| And most low-maintenance? |||| Reformulation: 
7,Is sealing an asphalt driveway worth it?,Query: Is sealing worth it? |||| Context: How do I build a cheap driveway? ||| Which is cheaper: concrete or asphalt? ||| Really?  What type of product? ||| Who knew?  Which is more environmentally friendly? ||| No.  Which type of driveway is better for the environment? ||| And most low-maintenance? ||| Really? What about asphalt? |||| Reformulation: 
0,How can fires help an ecosystem?,Query: How can fires help an ecosystem? |||| Context:  |||| Reformulation: 
1,Give me some examples of organisms that have adapted to exploit natural wildfire.,Query: Give me some examples. |||| Context: How can fires help an ecosystem? |||| Reformulation: 
2,Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?,Query: Cool name!  What are other fire-followers? |||| Context: How can fires help an ecosystem? ||| Give me some examples. |||| Reformulation: 
3,Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?,"Query: Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? |||| Context: How can fires help an ecosystem? ||| Give me some examples. ||| Cool name!  What are other fire-followers? |||| Reformulation: "
4,Can agriculture cause desertification?,"Query: Can it cause desertification? |||| Context: How can fires help an ecosystem? ||| Give me some examples. ||| Cool name!  What are other fire-followers? ||| Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? |||| Reformulation: "
5,What does it mean for soil to be tired?,"Query: What does it mean to be tired? |||| Context: How can fires help an ecosystem? ||| Give me some examples. ||| Cool name!  What are other fire-followers? ||| Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? ||| Can it cause desertification? |||| Reformulation: "
6,"Permaculture sounds like organic farming, how are they related?","Query: That sounds like organic farming.  How are they related? |||| Context: How can fires help an ecosystem? ||| Give me some examples. ||| Cool name!  What are other fire-followers? ||| Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? ||| Can it cause desertification? ||| What does it mean to be tired? |||| Reformulation: "
7,"Does organic farming reduce global warming, and if so, how?","Query: Does organic farming reduce global warming, and if so, how? |||| Context: How can fires help an ecosystem? ||| Give me some examples. ||| Cool name!  What are other fire-followers? ||| Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? ||| Can it cause desertification? ||| What does it mean to be tired? ||| That sounds like organic farming.  How are they related? |||| Reformulation: "
0,Why do cats eat plastic?,Query: Why do cats eat plastic? |||| Context:  |||| Reformulation: 
1,Will eating plastic kill a cat?,Query: Will it kill him? |||| Context: Why do cats eat plastic? |||| Reformulation: 
2,What?  No. Will eating plastic kill my cat?,Query: What?  No.  Will eating plastic kill my cat? |||| Context: Why do cats eat plastic? ||| Will it kill him? |||| Reformulation: 
