,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: For the first stage, what are the alternatives to surgery for invasive lobular cancer? |||  ||| What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out f |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. |||  ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? |||  ||| What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasi |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,"Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
2,What type of de-icing product can damage concrete driveways?,"Query: Really?  What type of product? |||| Context: Which is cheaper way to build a driveway: concrete or asphalt? ||| In winter, concrete driveways can suffer damage if you use the wrong de-icing product. ||| How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
3,Which type of driveway is more environmentally friendly?,"Query: Who knew?  Which is more environmentally friendly? |||| Context: What type of de-icing product can damage concrete driveways? ||| Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product. ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| In winter, concrete driveways can suffer damage if you use the wrong de-icing product. ||| How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
