,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. Lobular carcinoma: This starts in the lobules. Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. Non-invasive breast cancer is when the cancer is still inside its place of origin and has not broken out. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: Once it breaks out, how likely is it to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. Most of the time, these later cancers begin in the milk ducts, rather than the lobules. How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. ||| I just had a breast biopsy for cancer. What are the most common types? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. Lobular carcinoma: This starts in the lobules. Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. Non-invasive breast cancer is when the cancer is still inside its place of origi |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: How deadly is it? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. Section::::Campus. ||| Once it breaks out, how likely is it to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye on it. Between 20% to 40% of women with this condition will develop a separate invasive breast cancer -- one that will grow outside its original location -- within the next 15 years. Most of the time, these later cancers begin in the milk ducts, rather than the lobules. How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS. ||| I just had a breast biopsy for cancer. What are the most common types? ||| More research is needed. Types Breast cancer can be: Ductal carcinoma: This begins in the milk duct and is the most common type. Lobular carcinoma: This starts in the lobules. Invasive breast cancer is  |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. PLCIS behaves differently to ALH and LCIS, and may be more likely to develop into cancer in the future. Your individual risk depends on several factors, which your specialist can talk to you about. ||| How deadly is it? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. In 2000, LCI was locked down after two youths were arrested and two firearms were seized. Section::::Campus. ||| Once it breaks out, how likely is it to spread? ||| Even though this condition doesn’t spread, it’s important to keep an eye  |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: Wow, that's better than I thought.  What are common treatments? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. Your specialist will discuss treatment options with you based on your particular situation. If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. This is to find out if there are any cancer cells in this area. This may be done using a procedure called a vacuum assisted biopsy, or a small operation known as an excision biopsy. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. Future breast cancer risk The vast majority of women diagnosed with ALH or LCIS will never get breast cancer. However, people diagnosed with either condition have a slightly higher risk than the gen |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: How does it behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ).” When a recent breast biopsy revealed PLCIS (pleomorphic carcinoma in situ), initial tests showed that it was not cancerous. But Wilson had second thoughts. “A friend who had had breast cancer suggested I get a second opinion on my pathology and my gut told me that was the thing to do,” she wrote. When she went to two other pathologists, both confirmed a cancer diagnosis. “I share this to educate others that a second opinion is critical to your health,” she said. “You have nothing to lose if both opinions match up for the good, and everything to gain if something that was missed is found, which does happen. Early diagnosis is key.” Wilson is the second celebrity in a week to do a public service announcement for early cancer detection. Last week, Taylor Swift revealed that her mo |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. This cancer accounts for about 10% of all invasive breast cancer cases. Prognosis for infiltrating and invasive lobular breast carcinomas will naturally be influenced by tumor size, grade, stage and hormone receptor status.. However, lobular breast cancers, when positive for estrogen and progesterone receptors, tend to respond very well to hormone therapy. The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. Survival rates range from about 77% to 93%, but on average the 5 year survival rate was estimated at about 90%. How old are these figures, Doc? The general range of survival 77% to 93% is over 10 years old so expect higher now. The average survival rate of 90% was as of 2010, so still quite old. Infiltrating/Invasive Ductal Carcinoma (ID |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: For the first stage, what are the alternatives to surgery? ||| Regardless of the histological subtype, the prognosis of IDC depends also on tumor size, presence of cancer in the lymph nodes, histological grade, presence of cancer in small vessels (vascular invasion), expression of hormone receptors and of oncogenes like HER2/neu. These parameters can be entered into models that provide a statistical probability of systemic spread. The probability of systemic spread is a key factor in determining whether radiation and chemotherapy are worthwhile. The individual parameters are important also because they can predict how well a cancer will respond to specific chemotherapy agents. Overall, the 5-year survival rate of invasive ductal carcinoma was approximately 85% in 2003. Section::::Treatment. Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the ||| What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of br |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: No, I meant for lobular. ||| The breast cancer has been detected in the early stages and can be very effectively treated. Stage 1 can be divided into Stage 1A and Stage 1B. The difference is determined by the size of the tumor and the lymph nodes with evidence of cancer. Stage 1A breast cancer means the following description applies: The tumor is smaller than the approximate size of a peanut (2 centimeters or smaller) AND has not spread to the lymph nodes. Stage 1B breast cancer means one of the following descriptions applies: Lymph nodes have cancer evidence with small clusters of cells between the approximate size of a pinprick to the approximate width of a grain of rice (.2mm to 2.0 mm). AND EITHER No actual tumor is found in the breast. OR The tumor is smaller than the approximate size of a peanut (2 centimeters or smaller). Similar to stage 0, breast cancer at this stage is very treatable and survivable. When breast cancer is detected early, and is in the localized stage, the 5-ye |||| Reformulation: "
