,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body. |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: How deadly is lobular carcinoma in situ? ||| In 1999, a student opened fire at W. R. Myers, killing one student and seriously wounding another. ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: What makes lobular cancer distinct? ||| The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years. ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the ||| What makes lobular cancer distinct? |||  ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. ||| The difference is determined by the size of the tumor and the lymph nodes with evidence of cancer. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? |||  ||| What makes lobular cancer distinct? |||  ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,"Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
2,What type of de-icing product can damage concrete driveways?,"Query: Really?  What type of product? |||| Context: Which is cheaper way to build a driveway: concrete or asphalt? ||| In winter, concrete driveways can suffer damage if you use the wrong de-icing product. ||| How do I build a cheap driveway? |||  |||| Reformulation: "
3,Which type of driveway is more environmentally friendly?,"Query: Who knew?  Which is more environmentally friendly? |||| Context: What type of de-icing product can damage concrete driveways? ||| Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product. ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
4,No. Which type of driveway is better for the environment?,"Query: No.  Which type of driveway is better for the environment? |||| Context: Which type of driveway is more environmentally friendly? ||| The same chemical magic that turns ice into water creates a very salty brine that can make household pets sick, kill lawns and eats away at concrete, brick, and stone. ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
5,Which type of driveway is the most low-maintenance?,"Query: And most low-maintenance? |||| Context: No. Which type of driveway is better for the environment? ||| There are three main types of solution to creating a permeable driveway: Using gravel or a mainly green, vegetated area. ||| Which type of driveway is more environmentally friendly? |||  ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
6,Really? How long does an asphalt driveway last?,Query: Really? What about asphalt? |||| Context: Which type of driveway is the most low-maintenance? ||| Ongoing Maintenance Chart: Gravel Driveway – #1 – Most Ongoing Maintenance Asphalt Driveway – #2Concrete Driveway – #3Paver Driveway – #4 – ||| No. Which type of driveway is better for the environment? |||  ||| Which type of driveway is more environmentally friendly? |||  ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: 
7,Is sealing an asphalt driveway worth it?,"Query: Is sealing worth it? |||| Context: Really? How long does an asphalt driveway last? ||| During installation, the area will need to be excavated and graded to be paved and allow the base to settle before applying the hot mix asphalt and compacting it with a heavy duty roller. ||| Which type of driveway is the most low-maintenance? |||  ||| No. Which type of driveway is better for the environment? |||  ||| Which type of driveway is more environmentally friendly? |||  ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
