,Target,Source
0,How do you know when your garage door opener is going bad?,Query: How do you know when your garage door opener is going bad? |||| Context:  |||| Reformulation: 
1,Now my garage door opener stopped working. Why?,Query: Now it stopped working. Why? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. |||| Reformulation: 
2,How much does it cost for someone to repair a garage door opener?,Query: How much does it cost for someone to fix it? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. ||| Now my garage door opener stopped working. Why? ||| Align the safety sensors on your garage door and you will have the opener working properly. |||| Reformulation: 
3,How much does it cost to replace a garage door opener?,Query: How about replacing it instead? |||| Context: How do you know when your garage door opener is going bad? |||  ||| Now my garage door opener stopped working. Why? ||| Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| Most homeowners pay between $170 and $250 for the cost of such a repair project. |||| Reformulation: 
4,How do I choose a new garage door opener?,"Query: How do I choose a new one? |||| Context: How do you know when your garage door opener is going bad? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How much does it cost for someone to repair a garage door opener? ||| Most homeowners pay between $170 and $250 for the cost of such a repair project. ||| How much does it cost to replace a garage door opener? ||| If your opener works with the new door, you won't need to have it replaced. |||| Reformulation: "
5,What does a smart garage door opener do?,"Query: What does a smart one do? |||| Context: How do you know when your garage door opener is going bad? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How much does it cost for someone to repair a garage door opener? |||  ||| How much does it cost to replace a garage door opener? ||| If your opener works with the new door, you won't need to have it replaced. ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. |||| Reformulation: "
6,What's important for me to know about the safety of smart garage door openers?,"Query: What's important for me to know about their safety? |||| Context: How do you know when your garage door opener is going bad? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How much does it cost for someone to repair a garage door opener? |||  ||| How much does it cost to replace a garage door opener? |||  ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. ||| What does a smart garage door opener do? ||| The only negative comment related to a limited range for the garage door remote.he LiftMaster Model 3240 is a SMART Garage Door OpenerÂ®, which allows the owner to program the security codes from the either the powerhead or the included Multi-Function control panel. |||| Reformulation: "
7,How could smart garage door openers be hacked?,"Query: How could they be hacked? |||| Context: How do you know when your garage door opener is going bad? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How much does it cost for someone to repair a garage door opener? |||  ||| How much does it cost to replace a garage door opener? |||  ||| How do I choose a new garage door opener? |||  ||| What does a smart garage door opener do? ||| The only negative comment related to a limited range for the garage door remote.he LiftMaster Model 3240 is a SMART Garage Door OpenerÂ®, which allows the owner to program the security codes from the either the powerhead or the included Multi-Function control panel. ||| What's important for me to know about the safety of smart garage door openers? ||| Force Settings: The force settings on your garage door opener are an important safety feature. |||| Reformulation: "
0,I would like to learn about GMO Food labeling.,Query: I would like to learn about GMO Food labeling. |||| Context:  |||| Reformulation: 
1,What are the pros and cons of GMO food labeling?,Query: What are the pros and cons? |||| Context: I would like to learn about GMO Food labeling. ||| The reason GMO food should be voluntarily labeled by the food industry is that it is clear some consumers want to know what they are eating and they have a right to know what is in their food. |||| Reformulation: 
