,Target,Source
0,How do you know when your garage door opener is going bad?,Query: How do you know when your garage door opener is going bad? |||| Context:  |||| Reformulation: 
1,Now my garage door opener stopped working. Why?,"Query: Now it stopped working. Why? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. |||| Reformulation: "
2,How much does it cost for someone to repair a garage door opener?,"Query: How much does it cost for someone to fix it? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. |||| Reformulation: "
3,How much does it cost to replace a garage door opener?,"Query: How about replacing it instead? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. Most homeowners pay between $170 and $250 for the cost of such a repair project. |||| Reformulation: "
4,How do I choose a new garage door opener?,"Query: How do I choose a new one? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. Most homeowners pay between $170 and $250 for the cost of such a repair project. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. If your opener works with the new door, you won't need to have it replaced. |||| Reformulation: "
5,What does a smart garage door opener do?,"Query: What does a smart one do? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. Most homeowners pay between $170 and $250 for the cost of such a repair project. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. If your opener works with the new door, you won't need to have it replaced. ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. With so many different types of garage door openers on the market, you may not be sure where to start. |||| Reformulation: "
6,What's important for me to know about the safety of smart garage door openers?,"Query: What's important for me to know about their safety? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. Most homeowners pay between $170 and $250 for the cost of such a repair project. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. If your opener works with the new door, you won't need to have it replaced. ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. With so many different types of garage door openers on the market, you may not be sure where to start. ||| What does a smart garage door opener do? ||| LiftMaster Model 3240 Consumer Reports. This solid screw drive garage door opener has 2 out of 2 positive reviews on the Liftmaster.com site. |||| Reformulation: "
7,How could smart garage door openers be hacked?,"Query: How could they be hacked? |||| Context: How do you know when your garage door opener is going bad? ||| Garage Door Opener Problems. So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. ||| Now my garage door opener stopped working. Why? ||| Most closing issues are a result of misaligned safety sensors. Align the safety sensors on your garage door and you will have the opener working properly. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. Most homeowners pay between $170 and $250 for the cost of such a repair project. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. If your opener works with the new door, you won't need to have it replaced. ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. With so many different types of garage door openers on the market, you may not be sure where to start. ||| What does a smart garage door opener do? ||| LiftMaster Model 3240 Consumer Reports. This solid screw drive garage door opener has 2 out of 2 positive reviews on the Liftmaster.com site. ||| What's important for me to know about the safety of smart garage door openers? ||| Force Settings: The force settings on your garage door opener are an important safety feature. They regulate the amount of power required to open and close the door and there is an up limit and a down limit. |||| Reformulation: "
0,I would like to learn about GMO Food labeling.,Query: I would like to learn about GMO Food labeling. |||| Context:  |||| Reformulation: 
1,What are the pros and cons of GMO food labeling?,Query: What are the pros and cons? |||| Context: I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: 
