,Target,Source
0,How do you know when your garage door opener is going bad?,Query: How do you know when your garage door opener is going bad? |||| Context:  |||| Reformulation: 
1,Now my garage door opener stopped working. Why?,Query: Now it stopped working. Why? |||| Context: How do you know when your garage door opener is going bad? |||| Reformulation: 
2,How much does it cost for someone to repair a garage door opener?,Query: How much does it cost for someone to fix it? |||| Context: Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
3,How much does it cost to replace a garage door opener?,Query: How about replacing it instead? |||| Context: How much does it cost for someone to repair a garage door opener? ||| Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
4,How do I choose a new garage door opener?,Query: How do I choose a new one? |||| Context: How much does it cost to replace a garage door opener? ||| How much does it cost for someone to repair a garage door opener? ||| Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
5,What does a smart garage door opener do?,Query: What does a smart one do? |||| Context: How do I choose a new garage door opener? ||| How much does it cost to replace a garage door opener? ||| How much does it cost for someone to repair a garage door opener? ||| Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
6,What's important for me to know about the safety of smart garage door openers?,Query: What's important for me to know about their safety? |||| Context: What does a smart garage door opener do? ||| How do I choose a new garage door opener? ||| How much does it cost to replace a garage door opener? ||| How much does it cost for someone to repair a garage door opener? ||| Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
7,How could smart garage door openers be hacked?,Query: How could they be hacked? |||| Context: What's important for me to know about the safety of smart garage door openers? ||| What does a smart garage door opener do? ||| How do I choose a new garage door opener? ||| How much does it cost to replace a garage door opener? ||| How much does it cost for someone to repair a garage door opener? ||| Now my garage door opener stopped working. Why? ||| How do you know when your garage door opener is going bad? |||| Reformulation: 
0,I would like to learn about GMO Food labeling.,Query: I would like to learn about GMO Food labeling. |||| Context:  |||| Reformulation: 
1,What are the pros and cons of GMO food labeling?,Query: What are the pros and cons? |||| Context: I would like to learn about GMO Food labeling. |||| Reformulation: 
2,What are the cons of GMO food labeling?,Query: And what about the cons? |||| Context: What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
3,What are the GMO food labeling rules in the EU?,Query: What are the EU rules? |||| Context: What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
4,Tell me about traceability tools for GMO foods in the EU.,Query: Tell me more about traceability tools. |||| Context: What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
5,What is the role of Co-Extra in GMO food traceability in the EU?,Query: What is the role of Co-Extra? |||| Context: Tell me about traceability tools for GMO foods in the EU. ||| What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
6,How is food tested for GMO contamination?,Query: How is testing done for contamination? |||| Context: What is the role of Co-Extra in GMO food traceability in the EU? ||| Tell me about traceability tools for GMO foods in the EU. ||| What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
7,What's the difference between the European Union and United States approaches to testing for GMO food contamination?,Query: What's the difference between the European and US approaches? |||| Context: How is food tested for GMO contamination? ||| What is the role of Co-Extra in GMO food traceability in the EU? ||| Tell me about traceability tools for GMO foods in the EU. ||| What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
8,How does the DNA-based method work for testing GMO contamination.,Query: How does the DNA-based method work? |||| Context: What's the difference between the European Union and United States approaches to testing for GMO food contamination? ||| How is food tested for GMO contamination? ||| What is the role of Co-Extra in GMO food traceability in the EU? ||| Tell me about traceability tools for GMO foods in the EU. ||| What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
9,How could Co-Extra improve DNA-based testing for GMO contamination?,Query: How could Co-Extra improve it? |||| Context: How does the DNA-based method work for testing GMO contamination. ||| What's the difference between the European Union and United States approaches to testing for GMO food contamination? ||| How is food tested for GMO contamination? ||| What is the role of Co-Extra in GMO food traceability in the EU? ||| Tell me about traceability tools for GMO foods in the EU. ||| What are the GMO food labeling rules in the EU? ||| What are the cons of GMO food labeling? ||| What are the pros and cons of GMO food labeling? ||| I would like to learn about GMO Food labeling. |||| Reformulation: 
0,What are some interesting facts about bees?,Query: What are some interesting facts about bees? |||| Context:  |||| Reformulation: 
1,Why doesn't honey spoil?,Query: Why doesn't it spoil? |||| Context: What are some interesting facts about bees? |||| Reformulation: 
2,Why are so many bees dying?,Query: Why are so many dying? |||| Context: Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
3,What can be done to stop bees from dying?,Query: What can be done to stop it? |||| Context: Why are so many bees dying? ||| Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
4,What has happened to bee habitat?,Query: What has happened to their habitat? |||| Context: What can be done to stop bees from dying? ||| Why are so many bees dying? ||| Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
5,What can I do to help provide a habitat for bees?,Query: What can I do to help with the problem? |||| Context: What has happened to bee habitat? ||| What can be done to stop bees from dying? ||| Why are so many bees dying? ||| Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
6,What is the cause of colony collapse disorder?,Query: What is the cause of CCD? |||| Context: What can I do to help provide a habitat for bees? ||| What has happened to bee habitat? ||| What can be done to stop bees from dying? ||| Why are so many bees dying? ||| Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
7,What would happen if the bees died out?,Query: What would happen if they died out? |||| Context: What is the cause of colony collapse disorder? ||| What can I do to help provide a habitat for bees? ||| What has happened to bee habitat? ||| What can be done to stop bees from dying? ||| Why are so many bees dying? ||| Why doesn't honey spoil? ||| What are some interesting facts about bees? |||| Reformulation: 
0,How does seed investment work for startups?,Query: How does seed investment work for startups? |||| Context:  |||| Reformulation: 
1,Tell me more about angel investment rounds.,Query: Tell me more about angel rounds. |||| Context: How does seed investment work for startups? |||| Reformulation: 
2,How does an angel investment round compare with crowdfunding?,Query: How does it compare with crowdfunding? |||| Context: Tell me more about angel investment rounds. ||| How does seed investment work for startups? |||| Reformulation: 
3,How much is a typical A series investment round?,Query: How much is a typical A series round? |||| Context: How does an angel investment round compare with crowdfunding? ||| Tell me more about angel investment rounds. ||| How does seed investment work for startups? |||| Reformulation: 
4,What are the risks of investing in startups?,Query: What are the risks of investing? |||| Context: How much is a typical A series investment round? ||| How does an angel investment round compare with crowdfunding? ||| Tell me more about angel investment rounds. ||| How does seed investment work for startups? |||| Reformulation: 
5,What are the different types of instruments used by Venture Capitalists?,Query: What are the different types of instruments used by VCs? |||| Context: What are the risks of investing in startups? ||| How much is a typical A series investment round? ||| How does an angel investment round compare with crowdfunding? ||| Tell me more about angel investment rounds. ||| How does seed investment work for startups? |||| Reformulation: 
0,How much does a Lamborghini cost?,Query: How much does a used Lamborghini cost? |||| Context:  |||| Reformulation: 
1,How does a Lamborghini compare to a Ferrari?,Query: How does it compare to a Ferrari? |||| Context: How much does a Lamborghini cost? |||| Reformulation: 
2,Interesting. How much does a pimped-out food truck cost?,Query: Interesting. What about for a pimped-out food truck? |||| Context: How does a Lamborghini compare to a Ferrari? ||| How much does a Lamborghini cost? |||| Reformulation: 
3,What licenses and permits are needed for a food truck?,Query: What licenses and permits are needed? |||| Context: Interesting. How much does a pimped-out food truck cost? ||| How does a Lamborghini compare to a Ferrari? ||| How much does a Lamborghini cost? |||| Reformulation: 
