,Target,Source
0,How do you know when your garage door opener is going bad?,Query: How do you know when your garage door opener is going bad? |||| Context:  |||| Reformulation: 
1,Now my garage door opener stopped working. Why?,"Query: Now it stopped working. Why? |||| Context: How do you know when your garage door opener is going bad? ||| So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. |||| Reformulation: "
2,How much does it cost for someone to repair a garage door opener?,"Query: How much does it cost for someone to fix it? |||| Context: Now my garage door opener stopped working. Why? ||| When the beam is broken as the door is traveling down, the opener will stop the door and reverse back to the open position. ||| How do you know when your garage door opener is going bad? ||| So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. |||| Reformulation: "
3,How much does it cost to replace a garage door opener?,"Query: How about replacing it instead? |||| Context: How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. ||| Now my garage door opener stopped working. Why? ||| When the beam is broken as the door is traveling down, the opener will stop the door and reverse back to the open position. ||| How do you know when your garage door opener is going bad? ||| So, when the garage door opener decides to take a day off, it can leave you stuck outside, probably during a rain or snow storm. |||| Reformulation: "
4,How do I choose a new garage door opener?,"Query: How do I choose a new one? |||| Context: How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. ||| Now my garage door opener stopped working. Why? ||| When the beam is broken as the door is traveling down, the opener will stop the door and reverse back to the open position. ||| How do you know when your garage door opener is going bad? |||  |||| Reformulation: "
5,What does a smart garage door opener do?,"Query: What does a smart one do? |||| Context: How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. ||| How much does it cost for someone to repair a garage door opener? ||| On average, homeowners report paying $210 to have a garage door opener repaired by a handyman. ||| Now my garage door opener stopped working. Why? |||  ||| How do you know when your garage door opener is going bad? |||  |||| Reformulation: "
6,What's important for me to know about the safety of smart garage door openers?,"Query: What's important for me to know about their safety? |||| Context: What does a smart garage door opener do? ||| The only negative comment related to a limited range for the garage door remote.he LiftMaster Model 3240 is a SMART Garage Door OpenerÂ ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. ||| How much does it cost to replace a garage door opener? ||| Purchasing extra remotes and getting openers set up for operation will typically range from $100 to $400, which will add to the overall cost of the garage door installation. ||| How much does it cost for someone to repair a garage door opener? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How do you know when your garage door opener is going bad? |||  |||| Reformulation: "
7,How could smart garage door openers be hacked?,Query: How could they be hacked? |||| Context: What's important for me to know about the safety of smart garage door openers? ||| The force settings on your garage door opener are an important safety feature. ||| What does a smart garage door opener do? ||| The only negative comment related to a limited range for the garage door remote.he LiftMaster Model 3240 is a SMART Garage Door OpenerÂ ||| How do I choose a new garage door opener? ||| How to Choose a Garage Door Opener. ||| How much does it cost to replace a garage door opener? |||  ||| How much does it cost for someone to repair a garage door opener? |||  ||| Now my garage door opener stopped working. Why? |||  ||| How do you know when your garage door opener is going bad? |||  |||| Reformulation: 
0,I would like to learn about GMO Food labeling.,Query: I would like to learn about GMO Food labeling. |||| Context:  |||| Reformulation: 
1,What are the pros and cons of GMO food labeling?,Query: What are the pros and cons? |||| Context: I would like to learn about GMO Food labeling. ||| The reason GMO food should be voluntarily labeled by the food industry is that it is clear some consumers want to know what they are eating and they have a right to know what is in their food. |||| Reformulation: 
2,What are the cons of GMO food labeling?,Query: And what about the cons? |||| Context: What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The reason GMO food should be voluntarily labeled by the food industry is that it is clear some consumers want to know what they are eating and they have a right to know what is in their food. |||| Reformulation: 
3,What are the GMO food labeling rules in the EU?,"Query: What are the EU rules? |||| Context: What are the cons of GMO food labeling? ||| (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The reason GMO food should be voluntarily labeled by the food industry is that it is clear some consumers want to know what they are eating and they have a right to know what is in their food. |||| Reformulation: "
4,Tell me about traceability tools for GMO foods in the EU.,"Query: Tell me more about traceability tools. |||| Context: What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. |||  |||| Reformulation: "
5,What is the role of Co-Extra in GMO food traceability in the EU?,"Query: What is the role of Co-Extra? |||| Context: Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. |||  |||| Reformulation: "
6,How is food tested for GMO contamination?,Query: How is testing done for contamination? |||| Context: What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? |||  ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. |||  |||| Reformulation: 
7,What's the difference between the European Union and United States approaches to testing for GMO food contamination?,"Query: What's the difference between the European and US approaches? |||| Context: How is food tested for GMO contamination? ||| GMO foods are a good chance to increase food production, because it has defenses against bugs already built in. ||| What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? |||  ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. |||  |||| Reformulation: "
8,How does the DNA-based method work for testing GMO contamination.,"Query: How does the DNA-based method work? |||| Context: What's the difference between the European Union and United States approaches to testing for GMO food contamination? |||  ||| How is food tested for GMO contamination? ||| GMO foods are a good chance to increase food production, because it has defenses against bugs already built in. ||| What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? |||  ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. |||  |||| Reformulation: "
